No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Conversion Optimization,Pattern ID,Aliases
1,Hero + Features + CTA,"hero, hero-centric, hero-centric design, features, feature-rich, feature-rich showcase, cta, call-to-action",Hero with headline/image > Value prop > Key features (3-5) > CTA section > Footer,Hero (sticky) + Bottom,Hero: Brand primary or vibrant. Features: Card bg #FAFAFA. CTA: Contrasting accent color,"Hero parallax, feature card hover lift, CTA glow on hover","Deep CTA placement. For CTA label text, verify at least 4.5:1 against the button fill; use 7:1 only when the product explicitly targets AAA normal-text contrast. Keep focus and component boundaries independently visible. Disable hero parallax under reduced motion and render its static final state.",hero-features-cta,
2,Hero + Testimonials + CTA,"hero, testimonials, social-proof, social-proof-focused, social proof focused, trust, reviews, cta, carousel accessibility, keyboard accessible carousel, pause auto rotation, reduced motion final state",Hero > Problem statement > Solution overview > Testimonials carousel > CTA,Hero (sticky) + Post-testimonials,"Hero: Brand color. Testimonials: Light bg #F5F5F5. Quotes: Italic, muted color #666. CTA: Vibrant","Testimonial carousel slide animations, quote marks animations, avatar fade-in","Social proof before CTA. Use a concise set of verified testimonials with photo, name, and role. CTA after social proof. Provide previous/next and pause controls; stop rotation on focus, hover, and reduced motion; announce slide position. Previous/next buttons and keyboard controls must expose every slide without dragging.",hero-testimonials-cta,Conversion-Optimized + Social Proof|Feature-Rich + Social Proof|Feature-Rich Showcase + Social Proof|Hero-Centric + Social Proof|Minimal & Direct + Social Proof|Social Proof + Conversion|Social Proof + Feature-Rich|Social Proof-Focused|Social Proof-Focused + Conversion|Social Proof-Focused + Feature-Rich|Storytelling + Social Proof|Storytelling-Driven + Social Proof
3,Product Demo + Features,"demo, product-demo, features, showcase, interactive, interactive-product-demo, interactive product demo",Hero > Product video/mockup (center) > Feature breakdown per section > Comparison (optional) > CTA,Video center + CTA right/bottom,Video surround: Brand color overlay. Features: Icon color #0080FF. Text: Dark #222,"Video play button pulse, feature scroll reveals, demo interaction highlights","Use an interactive demo only when it explains value better than static media. Provide captions, transcript, visible play/pause controls, and a non-video fallback; do not autoplay under reduced motion. Pause media when offscreen or hidden and keep the final product state available as static content.",product-demo-features,Conversion-Optimized + Demo|Feature-Rich Showcase + Demo|Feature-Rich Showcase + Interactive Demo|Interactive Demo + Feature-Rich|Interactive Demo + Minimal|Interactive Product Demo|Interactive Product Demo + Minimal|Interactive Product Demo + Social Proof|Interactive Product Demo + Storytelling|Minimal & Direct + Demo|Social Proof-Focused + Demo
4,Minimal Single Column,"minimal, simple, direct, minimal & direct, minimal-direct, single-column, clean",Hero headline > Short description > Benefit bullets (3 max) > CTA > Footer,"Center, large CTA button",Minimalist: Brand + white #FFFFFF + accent. Verify CTA label text against its button fill at 4.5:1 minimum; use 7:1 only for an explicit AAA normal-text target.,Minimal hover effects. Smooth scroll. CTA scale on hover (subtle),Single CTA focus. Large typography. Lots of whitespace. No nav clutter. Mobile-first.,minimal-single-column,Minimal & Direct
5,Funnel (3-Step Conversion),"funnel, conversion, conversion-optimized, conversion optimized, steps, wizard, onboarding",Hero > Step 1 (problem) > Step 2 (solution) > Step 3 (action) > CTA progression,Each step: mini-CTA. Final: main CTA,"Step colors: 1 (Red/Problem), 2 (Orange/Process), 3 (Green/Solution). CTA: Brand color","Step number animations, progress bar fill, step transitions smooth scroll",Progressive disclosure. Show only essential info per step. Use progress indicators. Multiple CTAs.,funnel-3-step-conversion,Conversion + Feature-Rich|Conversion-Optimized|Conversion-Optimized + Feature-Rich|Feature-Rich + Conversion|Hero-Centric + Conversion|Minimal & Direct + Conversion|Minimal + Conversion
6,Comparison Table + CTA,"comparison, table, compare, versus, cta",Hero > Problem intro > Comparison table (product vs competitors) > Pricing (optional) > CTA,Table: Right column. CTA: Below table,Table: Alternating rows (white/light grey). Your product: Highlight #FFFACD (light yellow) or green. Text: Dark,"Table row hover highlight, price toggle animations, feature checkmark animations",Use comparison to show unique value. Highlight your product row. Include 'free trial' in pricing row.,comparison-table-cta,
7,Lead Magnet + Form,"lead, form, signup, capture, email, magnet","Hero (benefit headline) > Lead magnet preview (ebook cover, checklist, etc) > Form (minimal fields) > CTA submit",Form CTA: Submit button,Lead magnet: Professional design. Form: Clean white bg. Inputs: Light border #CCCCCC. CTA: Brand color,"Form focus state animations, input validation animations, success confirmation animation",Ask only for information necessary to deliver the lead magnet. Preview its value and show submission progress.,lead-magnet-form,
8,Pricing Page + CTA,"pricing, plans, tiers, comparison, cta",Hero (pricing headline) > Price comparison cards > Feature comparison table > FAQ section > Final CTA,Each card: CTA button. Sticky CTA in nav,"Free: Grey, Starter: Blue, Pro: Green/Gold, Enterprise: Dark. Cards: 1px border, shadow","Price toggle animation (monthly/yearly), card comparison highlight, FAQ accordion open/close",Highlight the plan that matches the intended audience and show actual annual savings transparently. Use FAQs to address concerns.,pricing-page-cta,
9,Video-First Hero,"video, hero, media, visual, engaging",Hero with video background > Key features overlay > Benefits section > CTA,Overlay on video (center/bottom) + Bottom section,Use an overlay strong enough for text contrast. Brand accent for CTA. Light text only when the measured contrast passes.,"Video autoplay muted, parallax scroll, text fade-in on scroll",Use video only when it demonstrates value better than static media. Add captions for accessibility. Compress video for performance. Provide captions and a visible pause control; use a static poster when reduced motion is requested. Pause video when offscreen or hidden; the reduced-motion poster must preserve the final message and CTA.,video-first-hero,
10,Scroll-Triggered Storytelling,"storytelling, scroll, narrative, story, immersive",Intro hook > Chapter 1 (problem) > Chapter 2 (journey) > Chapter 3 (solution) > Climax CTA,End of each chapter (mini) + Final climax CTA,Progressive reveal. Each chapter has distinct color. Building intensity.,"ScrollTrigger animations, parallax layers, progressive disclosure, chapter transitions",Keep the narrative understandable without scroll-driven effects. Use progress indicator. Mobile: simplify animations. Keep DOM reading order complete; disable parallax and scroll-scrub under reduced motion. Pause scroll animation when offscreen or hidden and render each chapter in its final readable state under reduced motion.,scroll-triggered-storytelling,Storytelling + Data|Storytelling + Feature-Rich|Storytelling + Hero-Centric|Storytelling-Driven|Storytelling-Driven + Feature-Rich|Storytelling-Driven + Hero|Storytelling-Driven + Hero-Centric
