No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Applies To,Status,Verified At
1,Animation,Use Tailwind animate utilities,Built-in animations are optimized and respect reduced-motion,Use animate-pulse animate-spin animate-ping,Custom @keyframes for simple effects,animate-pulse,@keyframes pulse {...},Medium,https://tailwindcss.com/docs/animation,html-tailwind 4.3,active,2026-08-13
2,Animation,Limit bounce animations,Continuous bounce is distracting and can conflict with reduced-motion preferences,Use animate-bounce sparingly and add motion-reduce:animate-none,Multiple unbounded bounce animations,animate-bounce motion-reduce:animate-none,5+ elements with animate-bounce,High,https://tailwindcss.com/docs/hover-focus-and-other-states#prefers-reduced-motion,html-tailwind 4.3,active,2026-08-13
3,Animation,Transition duration,Use appropriate transition speeds for UI feedback,duration-150 to duration-300 for UI,duration-1000 or longer for UI elements,transition-all duration-200,transition-all duration-1000,Medium,https://tailwindcss.com/docs/transition-duration,html-tailwind 4.3,active,2026-08-13
4,Animation,Hover transitions,Add smooth transitions on hover state changes,Add transition class with hover states,Instant hover changes without transition,hover:bg-gray-100 transition-colors,hover:bg-gray-100 (no transition),Low,,html-tailwind 4.3,active,2026-08-13
5,Z-Index,Use Tailwind z-* scale,Consistent stacking context with predefined scale,z-0 z-10 z-20 z-30 z-40 z-50,Arbitrary z-index values,z-50 for modals,z-[9999],Medium,https://tailwindcss.com/docs/z-index,html-tailwind 4.3,active,2026-08-13
6,Z-Index,Fixed elements z-index,Fixed navigation and overlays need an intentional stacking order,Use documented z-* tokens for the application layer,Rely only on DOM order for stacking,fixed top-0 z-50,fixed top-0 (no z-index),High,https://tailwindcss.com/docs/z-index,html-tailwind 4.3,active,2026-08-13
7,Z-Index,Negative z-index for backgrounds,Use negative z-index for decorative backgrounds,z-[-1] for background elements,Positive z-index for backgrounds,-z-10 for decorative,z-10 for background,Low,,html-tailwind 4.3,active,2026-08-13
8,Layout,Container max-width,Limit content width for readability,max-w-7xl mx-auto for main content,Full-width content on large screens,max-w-7xl mx-auto px-4,w-full (no max-width),Medium,https://tailwindcss.com/docs/container,html-tailwind 4.3,active,2026-08-13
9,Layout,Responsive padding,Adjust padding for different screen sizes,px-4 md:px-6 lg:px-8,Same padding all sizes,px-4 sm:px-6 lg:px-8,px-8 (same all sizes),Medium,,html-tailwind 4.3,active,2026-08-13
10,Layout,Grid gaps,Use consistent gap utilities for spacing,gap-4 gap-6 gap-8,Margins on individual items,grid gap-6,grid with mb-4 on each item,Medium,https://tailwindcss.com/docs/gap,html-tailwind 4.3,active,2026-08-13
