No,UI_Category,Recommended_Pattern,Style_Priority,Color_Mood,Typography_Mood,Key_Effects,Decision_Rules,Anti_Patterns,Severity,Reasoning,Confidence
1,SaaS (General),Hero + Features + CTA,Glassmorphism + Flat Design,Trust blue + Accent contrast,Professional + Hierarchy,Subtle hover (200-250ms) + Smooth transitions,"{""if_ux_focused"":[""style:minimalism-and-swiss-style""],""if_data_heavy"":[""style:glassmorphism""]}",Excessive animation + Dark mode by default,HIGH,,
2,Micro SaaS,Hero-Centric + Trust,Motion-Driven + Vibrant & Block-based,Bold primaries + Accent contrast,Modern + Energetic typography,Scroll-triggered animations + Parallax,"{""if_pre_launch"":[""pattern:Waitlist/Coming Soon""],""if_video_ready"":[""constraint:add-hero-video""]}",Static design + No video + Poor mobile,HIGH,,
3,E-commerce,Feature-Rich Showcase,Vibrant & Block-based,Brand primary + Success green,Engaging + Clear hierarchy,Card hover lift (200ms) + Scale effect,"{""if_luxury"":[""style:liquid-glass""],""if_conversion_focused"":[""constraint:add-urgency-colors""]}",Flat design without depth + Text-heavy pages,HIGH,,
4,E-commerce Luxury,Feature-Rich Showcase,Liquid Glass + Glassmorphism,Premium colors + Minimal accent,Elegant + Refined typography,Chromatic aberration + Fluid animations (400-600ms),"{""if_checkout"":[""constraint:emphasize-trust""],""if_hero_needed"":[""style:3d-and-hyperrealism""]}",Vibrant & Block-based + Playful colors,HIGH,,
5,B2B Service,Feature-Rich Showcase + Trust,Accessible & Ethical + Minimalism & Swiss Style,Professional blue + Neutral grey,Formal + Clear typography,Section transitions + Feature reveals,"{""must_have"":[""constraint:case-studies"",""constraint:roi-messaging""]}",Playful design + Hidden credentials + AI purple/pink gradients,HIGH,,
6,Financial Dashboard,Data-Dense Dashboard,Dark Mode (OLED) + Data-Dense Dashboard,Dark bg + Red/Green alerts + Trust blue,Clear + Readable typography,Real-time number animations + Alert pulse,"{""must_have"":[""constraint:real-time-updates"",""constraint:high-contrast""]}",Light mode default + Slow rendering,HIGH,,
7,Analytics Dashboard,Data-Dense + Drill-Down,Data-Dense Dashboard + Heat Map & Heatmap Style,Cool→Hot gradients + Neutral grey,Clear + Functional typography,Hover tooltips + Chart zoom + Filter animations,"{""must_have"":[""constraint:data-export""],""if_large_dataset"":[""constraint:virtualize-lists""]}",Ornate design + No filtering,HIGH,,
8,Healthcare App,Social Proof-Focused,Neumorphism + Accessible & Ethical,Calm blue + Health green,Readable + Large type (16px+),Soft box-shadow + Smooth press (150ms),"{""must_have"":[""constraint:wcag-aaa-compliance""],""if_medication"":[""constraint:red-alert-colors""]}",Bright neon colors + Motion-heavy animations + AI purple/pink gradients,HIGH,,
9,Educational App,Feature-Rich Showcase,Claymorphism + Micro-interactions,Playful colors + Clear hierarchy,Friendly + Engaging typography,Soft press (200ms) + Fluffy elements,"{""if_gamification"":[""constraint:add-progress-animation""],""if_children"":[""constraint:increase-playfulness""]}",Dark modes + Complex jargon,MEDIUM,,
10,Creative Agency,Storytelling-Driven,Brutalism + Motion-Driven,Bold primaries + Artistic freedom,Bold + Expressive typography,CRT scanlines + Neon glow + Glitch effects,"{""must_have"":[""constraint:case-studies""],""if_boutique"":[""constraint:increase-artistic-freedom""]}",Corporate minimalism + Hidden portfolio,HIGH,,
11,Portfolio/Personal,Storytelling-Driven,Motion-Driven + Minimalism & Swiss Style,Brand primary + Artistic,Expressive + Variable typography,Parallax (3-5 layers) + Scroll-triggered reveals,"{""if_creative_field"":[""style:brutalism""],""if_minimal_portfolio"":[""constraint:reduce-motion""]}",Corporate templates + Generic layouts,MEDIUM,,
12,Gaming,Feature-Rich Showcase,3D & Hyperrealism + Retro-Futurism,Vibrant + Neon + Immersive,Bold + Impactful typography,WebGL 3D rendering + Glitch effects,"{""if_competitive"":[""constraint:add-real-time-stats""],""if_casual"":[""constraint:increase-playfulness""]}",Minimalist design + Static assets,HIGH,,
13,Government/Public Service,Minimal & Direct,Accessible & Ethical + Minimalism & Swiss Style,Professional blue + High contrast,Clear + Large typography,Clear focus rings (3-4px) + Skip links,"{""must_have"":[""constraint:wcag-aaa"",""constraint:keyboard-navigation""]}",Ornate design + Low contrast + Motion effects + AI purple/pink gradients,HIGH,,
14,Fintech/Crypto,Trust & Authority,Minimalism & Swiss Style + Accessible & Ethical,Navy + Trust Blue + Gold,Professional + Trustworthy,Smooth state transitions + Number animations,"{""must_have"":[""constraint:security-first""],""if_dashboard"":[""mode:dark""]}",Playful design + Unclear fees + AI purple/pink gradients,HIGH,,
15,Social Media App,Feature-Rich Showcase,Vibrant & Block-based + Motion-Driven,Vibrant + Engagement colors,Modern + Bold typography,Large scroll animations + Icon animations,"{""if_engagement_metric"":[""constraint:add-motion""],""if_content_focused"":[""constraint:minimize-chrome""]}",Heavy skeuomorphism + Accessibility ignored,MEDIUM,,
16,Productivity Tool,Interactive Demo + Feature-Rich,Flat Design + Micro-interactions,Clear hierarchy + Functional colors,Clean + Efficient typography,Quick actions (150ms) + Task animations,"{""must_have"":[""constraint:keyboard-shortcuts""],""if_collaboration"":[""constraint:add-real-time-cursors""]}",Complex onboarding + Slow performance,HIGH,,
17,Design System/Component Library,Feature-Rich + Documentation,Minimalism & Swiss Style + Accessible & Ethical,Clear hierarchy + Code-like structure,Monospace + Clear typography,Code copy animations + Component previews,"{""must_have"":[""constraint:search"",""constraint:code-examples""]}",Poor documentation + No live preview,HIGH,,
18,AI/Chatbot Platform,Interactive Demo + Minimal,AI-Native UI + Minimalism & Swiss Style,Neutral + AI Purple (#6366F1),Modern + Clear typography,Streaming text + Typing indicators + Fade-in,"{""must_have"":[""constraint:conversational-ui"",""constraint:context-awareness""]}",Heavy chrome + Slow response feedback,HIGH,,
19,NFT/Web3 Platform,Feature-Rich Showcase,Cyberpunk UI + Glassmorphism,Dark + Neon + Gold (#FFD700),Bold + Modern typography,Wallet connect animations + Transaction feedback,"{""must_have"":[""constraint:wallet-integration"",""constraint:gas-fees-display""]}",Light mode default + No transaction status,HIGH,,
20,Creator Economy Platform,Social Proof + Feature-Rich,Vibrant & Block-based + Bento Box Grid,Vibrant + Brand colors,Modern + Bold typography,Engagement counter animations + Profile reveals,"{""must_have"":[""constraint:creator-profiles"",""constraint:monetization-display""]}",Generic layout + Hidden earnings,MEDIUM,,
21,Remote Work/Collaboration Tool,Feature-Rich + Real-Time,Soft UI Evolution + Minimalism & Swiss Style,Calm Blue + Neutral grey,Clean + Readable typography,Real-time presence indicators + Notification badges,"{""must_have"":[""constraint:status-indicators"",""constraint:video-integration""]}",Cluttered interface + No presence,HIGH,,
22,Mental Health App,Social Proof-Focused,Neumorphism + Accessible & Ethical,Calm Pastels + Trust colors,Calming + Readable typography,Soft press + Breathing animations,"{""must_have"":[""constraint:privacy-first""],""if_meditation"":[""constraint:add-breathing-animation""]}",Bright neon + Motion overload,HIGH,,
23,Pet Tech App,Storytelling + Feature-Rich,Claymorphism + Vibrant & Block-based,Playful + Warm colors,Friendly + Playful typography,Pet profile animations + Health tracking charts,"{""must_have"":[""constraint:pet-profiles""],""if_health"":[""constraint:add-vet-integration""]}",Generic design + No personality,MEDIUM,,
24,Smart Home/IoT Dashboard,Real-Time Monitoring,Glassmorphism + Dark Mode (OLED),Dark + Status indicator colors,Clear + Functional typography,Device status pulse + Quick action animations,"{""must_have"":[""constraint:real-time-controls"",""constraint:energy-monitoring""]}",Slow updates + No automation,HIGH,,
25,EV/Charging Ecosystem,Hero-Centric + Feature-Rich,Minimalism & Swiss Style + Aurora UI,Electric Blue (#009CD1) + Green,Modern + Clear typography,Range estimation animations + Map interactions,"{""must_have"":[""constraint:charging-map"",""constraint:range-calculator""]}",Poor map UX + Hidden costs,HIGH,,
26,Subscription Box Service,Feature-Rich + Conversion,Vibrant & Block-based + Motion-Driven,Brand + Excitement colors,Engaging + Clear typography,Unboxing reveal animations + Product carousel,"{""must_have"":[""constraint:personalization-quiz"",""constraint:subscription-management""]}",Confusing pricing + No unboxing preview,HIGH,,
27,Podcast Platform,Storytelling + Feature-Rich,Dark Mode (OLED) + Minimalism & Swiss Style,Dark + Audio waveform accents,Modern + Clear typography,Waveform visualizations + Episode transitions,"{""must_have"":[""constraint:audio-player-ux"",""constraint:episode-discovery""]}",Poor audio player + Cluttered layout,HIGH,,
28,Dating App,Social Proof + Feature-Rich,Vibrant & Block-based + Motion-Driven,Warm + Romantic (Pink/Red gradients),Modern + Friendly typography,Profile card swipe + Match animations,"{""must_have"":[""constraint:profile-cards"",""constraint:safety-features""]}",Generic profiles + No safety,HIGH,,
29,Micro-Credentials/Badges Platform,Trust & Authority + Feature,Minimalism & Swiss Style + Flat Design,Trust Blue + Gold (#FFD700),Professional + Clear typography,Badge reveal animations + Progress tracking,"{""must_have"":[""constraint:credential-verification"",""constraint:progress-display""]}",No verification + Hidden progress,MEDIUM,,
30,Knowledge Base/Documentation,FAQ + Minimal,Minimalism & Swiss Style + Accessible & Ethical,Clean hierarchy + Minimal color,Clear + Readable typography,Search highlight + Smooth scrolling,"{""must_have"":[""constraint:search-first"",""constraint:version-switching""]}",Poor navigation + No search,HIGH,,
31,Hyperlocal Services,Conversion + Feature-Rich,Minimalism & Swiss Style + Vibrant & Block-based,Location markers + Trust colors,Clear + Functional typography,Map hover + Provider card reveals,"{""must_have"":[""constraint:map-integration"",""constraint:booking-system""]}",No map + Hidden reviews,HIGH,,
32,Beauty/Spa/Wellness Service,Hero-Centric + Social Proof,Soft UI Evolution + Neumorphism,Soft pastels (Pink Sage Cream) + Gold accents,Elegant + Calming typography,Soft shadows + Smooth transitions (200-300ms) + Gentle hover,"{""must_have"":[""constraint:booking-system"",""constraint:before-after-gallery""],""if_luxury"":[""constraint:add-gold-accents""]}",Bright neon colors + Harsh animations + Dark mode,HIGH,,
33,Luxury/Premium Brand,Storytelling + Feature-Rich,Liquid Glass + Glassmorphism,Black + Gold (#FFD700) + White,Elegant + Refined typography,Slow parallax + Premium reveals (400-600ms),"{""must_have"":[""constraint:high-quality-imagery"",""constraint:storytelling""]}",Cheap visuals + Fast animations,HIGH,,
